AB,C,D,E,F,G,H,I,J,K,L
0x04A9540000,"0x036A","0x0004","0x0000","0x0000","B","0x2954","0x0000","0x0000","0x0051","0x01D5","0x0EE8"
0x04A9550000,"0x036B","0x0004","0x0000","0x0000","B","0x2955","0x0000","0x0000","0x0051","0x01D6","0x0EE9"
0x04A9560000,"0x036C","0x0004","0x0000","0x0000","B","0x2956","0x0000","0x0000","0x0051","0x01D7","0x0EEA"
0x04A9570000,"0x036D","0x0004","0x0000","0x0000","B","0x2957","0x0000","0x0000","0x0051","0x01D8","0x0EEB"
0x04A9580000,"0x036E","0x0004","0x0000","0x0000","B","0x2958","0x0000","0x0000","0x0051","0x01D9","0x0EEC"
0x04A9590000,"0x036F","0x0004","0x0000","0x0000","B","0x2959","0x0000","0x0000","0x0051","0x01DA","0x0EED"
0x04A95A0000,"0x0370","0x0004","0x0000","0x0000","B","0x295A","0x0000","0x0000","0x0051","0x01DB","0x0EEE"
0x04A95B0000,"0x0371","0x0004","0x0000","0x0000","B","0x295B","0x0000","0x0000","0x0051","0x01DC","0x0EEF"
0x04A95C0000,"0x0372","0x0004","0x0000","0x0000","B","0x295C","0x0000","0x0000","0x0051","0x01DD","0x0EF0"
0x04A95D0000,"0x0373","0x0004","0x0000","0x0000","B","0x295D","0x0000","0x0000","0x0051","0x01DE","0x0EF1"
0x04A95E0000,"0x0374","0x0004","0x0000","0x0000","B","0x295E","0x0000","0x0000","0x0051","0x01DF","0x0EF2"
0x04A95F0000,"0x0375","0x0004","0x0000","0x0000","B","0x295F","0x0000","0x0000","0x0051","0x01E0","0x0EF3"
0x04A9600000,"0x0376","0x0004","0x0000","0x0000","B","0x2960","0x0000","0x0000","0x0051","0x01E1","0x0EF4"
0x04A9610000,"0x0377","0x0004","0x0000","0x0000","B","0x2961","0x0000","0x0000","0x0051","0x01E2","0x0EF5"
0x04A9620000,"0x0378","0x0004","0x0000","0x0000","B","0x2962","0x0000","0x0000","0x0051","0x01E3","0x0EF6"
0x04A9630000,"0x0379","0x0004","0x0000","0x0000","B","0x2963","0x0000","0x0000","0x0051","0x01E4","0x0EF7"
0x04A96A0000,"0x037A","0x0004","0x0000","0x0000","B","0x296A","0x0000","0x0000","0x0051","0x01EC","0x0EFF"
0x04A96B0000,"0x037B","0x0004","0x0000","0x0000","B","0x296B","0x0000","0x0000","0x0051","0x01ED","0x0F00"
0x04A96C0000,"0x037C","0x0004","0x0000","0x0000","B","0x296C","0x0000","0x0000","0x0051","0x01EE","0x0F01"
0x04A96D0000,"0x037D","0x0004","0x0000","0x0000","B","0x296D","0x0000","0x0000","0x0051","0x01EF","0x0F02"
0x04A96E0000,"0x037E","0x0004","0x0000","0x0000","B","0x296E","0x0000","0x0000","0x0051","0x01F0","0x0F03"
0x04A96F0000,"0x037F","0x0004","0x0000","0x0000","B","0x296F","0x0000","0x0000","0x0051","0x01F1","0x0F04"
0x04A98B0000,"0x0380","0x0004","0x0000","0x0000","B","0x298B","0x0000","0x0000","0x0051","0x020E","0x0F21"
0x04A99A0000,"0x0381","0x0004","0x0000","0x0000","B","0x299A","0x0000","0x0000","0x0051","0x021D","0x0F30"
0x04A99B0000,"0x0382","0x0004","0x0000","0x0000","B","0x299B","0x0000","0x0000","0x0051","0x021E","0x0F31"
0x04A99C0000,"0x0383","0x0004","0x0000","0x0000","B","0x299C","0x0000","0x0000","0x0051","0x021F","0x0F32"
0x04A99D0000,"0x0384","0x0004","0x0000","0x0000","B","0x299D","0x0000","0x0000","0x0051","0x0220","0x0F33"
0x04A99E0000,"0x0385","0x0004","0x0000","0x0000","B","0x299E","0x0000","0x0000","0x0051","0x0221","0x0F34"
0x04A99F0000,"0x0386","0x0004","0x0000","0x0000","B","0x299F","0x0000","0x0000","0x0051","0x0222","0x0F35"
0x04C0290000,"0x0387","0x0004","0x0000","0x0000","U","0x0029","0x0000","0x0000","0x0051","0x0238","0xAA3C"
0x04C1000000,"0x0388","0x0004","0x0000","0x0000","U","0x0100","0x0000","0x0000","0x0051","0x0239","0xAA9A"
0x04C1110000,"0x0389","0x0004","0x0000","0x0000","U","0x0111","0x0000","0x0000","0x0051","0x023A","0xAAEF"
0x04C1190000,"0x038A","0x0004","0x0000","0x0000","U","0x0119","0x0000","0x0000","0x0051","0x023B","0xAB08"
0x04D2070000,"0x038B","0x0004","0x0000","0x0000","U","0x1207","0x0000","0x0000","0x0051","0x023E","0xACBF"
0x04D2A40000,"0x038C","0x0004","0x0000","0x0000","U","0x12A4","0x0000","0x0000","0x0051","0x0246","0xADA8"
0x04D2B20000,"0x038D","0x0004","0x0000","0x0000","U","0x12B2","0x0000","0x0000","0x0051","0x0247","0xADC3"
0x04D2B30000,"0x038E","0x0004","0x0000","0x0000","U","0x12B3","0x0000","0x0000","0x0051","0x0248","0xADC6"
0x0492110000,"0x038F","0x0004","0x0000","0x0000","B","0x1211","0x0000","0x0000","0x0051","0x01AE","0x0611"
0x0492120000,"0x0390","0x0004","0x0000","0x0000","B","0x1212","0x0000","0x0000","0x0051","0x01AF","0x0612"
0x04A9A00000,"0x0391","0x0004","0x0000","0x0000","B","0x29A0","0x0000","0x0000","0x0051","0x0223","0x0F36"
